Date,Year,Month,Precipitation_mm_per_day,Latitude,Longitude
202001,2020,1,0.45,17.82703226502565,-97.80431094116672
202002,2020,2,0.25,17.82703226502565,-97.80431094116672
202003,2020,3,0.12,17.82703226502565,-97.80431094116672
202004,2020,4,1.12,17.82703226502565,-97.80431094116672
202005,2020,5,1.2,17.82703226502565,-97.80431094116672
202006,2020,6,4.53,17.82703226502565,-97.80431094116672
202007,2020,7,5.39,17.82703226502565,-97.80431094116672
202008,2020,8,6.95,17.82703226502565,-97.80431094116672
202009,2020,9,9.03,17.82703226502565,-97.80431094116672
202010,2020,10,1.62,17.82703226502565,-97.80431094116672
202011,2020,11,0.45,17.82703226502565,-97.80431094116672
202012,2020,12,0.13,17.82703226502565,-97.80431094116672
202013,2020,13,2.6,17.82703226502565,-97.80431094116672
202101,2021,1,0.52,17.82703226502565,-97.80431094116672
202102,2021,2,0.35,17.82703226502565,-97.80431094116672
202103,2021,3,0.49,17.82703226502565,-97.80431094116672
202104,2021,4,0.72,17.82703226502565,-97.80431094116672
202105,2021,5,3.84,17.82703226502565,-97.80431094116672
202106,2021,6,7.09,17.82703226502565,-97.80431094116672
202107,2021,7,4.49,17.82703226502565,-97.80431094116672
202108,2021,8,5.92,17.82703226502565,-97.80431094116672
202109,2021,9,8.34,17.82703226502565,-97.80431094116672
202110,2021,10,2.46,17.82703226502565,-97.80431094116672
202111,2021,11,0.64,17.82703226502565,-97.80431094116672
202112,2021,12,0.1,17.82703226502565,-97.80431094116672
202113,2021,13,2.92,17.82703226502565,-97.80431094116672
202201,2022,1,0.48,17.82703226502565,-97.80431094116672
202202,2022,2,0.22,17.82703226502565,-97.80431094116672
202203,2022,3,0.23,17.82703226502565,-97.80431094116672
202204,2022,4,0.85,17.82703226502565,-97.80431094116672
202205,2022,5,0.93,17.82703226502565,-97.80431094116672
202206,2022,6,3.83,17.82703226502565,-97.80431094116672
202207,2022,7,2.85,17.82703226502565,-97.80431094116672
202208,2022,8,6.05,17.82703226502565,-97.80431094116672
202209,2022,9,6.27,17.82703226502565,-97.80431094116672
202210,2022,10,1.58,17.82703226502565,-97.80431094116672
202211,2022,11,1.07,17.82703226502565,-97.80431094116672
202212,2022,12,0.57,17.82703226502565,-97.80431094116672
202213,2022,13,2.08,17.82703226502565,-97.80431094116672
202301,2023,1,0.09,17.82703226502565,-97.80431094116672
202302,2023,2,0.11,17.82703226502565,-97.80431094116672
202303,2023,3,0.34,17.82703226502565,-97.80431094116672
202304,2023,4,1.34,17.82703226502565,-97.80431094116672
202305,2023,5,1.66,17.82703226502565,-97.80431094116672
202306,2023,6,1.07,17.82703226502565,-97.80431094116672
202307,2023,7,3.92,17.82703226502565,-97.80431094116672
202308,2023,8,7.64,17.82703226502565,-97.80431094116672
202309,2023,9,1.96,17.82703226502565,-97.80431094116672
202310,2023,10,2.79,17.82703226502565,-97.80431094116672
202311,2023,11,1.92,17.82703226502565,-97.80431094116672
202312,2023,12,0.73,17.82703226502565,-97.80431094116672
202313,2023,13,1.98,17.82703226502565,-97.80431094116672
202401,2024,1,0.36,17.82703226502565,-97.80431094116672
202402,2024,2,0.33,17.82703226502565,-97.80431094116672
202403,2024,3,0.16,17.82703226502565,-97.80431094116672
202404,2024,4,0.41,17.82703226502565,-97.80431094116672
202405,2024,5,0.99,17.82703226502565,-97.80431094116672
202406,2024,6,5.62,17.82703226502565,-97.80431094116672
202407,2024,7,5.69,17.82703226502565,-97.80431094116672
202408,2024,8,5.31,17.82703226502565,-97.80431094116672
202409,2024,9,7.54,17.82703226502565,-97.80431094116672
202410,2024,10,2.49,17.82703226502565,-97.80431094116672
202411,2024,11,0.32,17.82703226502565,-97.80431094116672
202412,2024,12,0.09,17.82703226502565,-97.80431094116672
202413,2024,13,2.44,17.82703226502565,-97.80431094116672
202001,2020,1,0.45,17.866667,-97.783333
202002,2020,2,0.25,17.866667,-97.783333
202003,2020,3,0.12,17.866667,-97.783333
202004,2020,4,1.12,17.866667,-97.783333
202005,2020,5,1.2,17.866667,-97.783333
202006,2020,6,4.53,17.866667,-97.783333
202007,2020,7,5.39,17.866667,-97.783333
202008,2020,8,6.95,17.866667,-97.783333
202009,2020,9,9.03,17.866667,-97.783333
202010,2020,10,1.62,17.866667,-97.783333
202011,2020,11,0.45,17.866667,-97.783333
202012,2020,12,0.13,17.866667,-97.783333
202013,2020,13,2.6,17.866667,-97.783333
202101,2021,1,0.52,17.866667,-97.783333
202102,2021,2,0.35,17.866667,-97.783333
202103,2021,3,0.49,17.866667,-97.783333
202104,2021,4,0.72,17.866667,-97.783333
202105,2021,5,3.84,17.866667,-97.783333
202106,2021,6,7.09,17.866667,-97.783333
202107,2021,7,4.49,17.866667,-97.783333
202108,2021,8,5.92,17.866667,-97.783333
202109,2021,9,8.34,17.866667,-97.783333
202110,2021,10,2.46,17.866667,-97.783333
202111,2021,11,0.64,17.866667,-97.783333
202112,2021,12,0.1,17.866667,-97.783333
202113,2021,13,2.92,17.866667,-97.783333
202201,2022,1,0.48,17.866667,-97.783333
202202,2022,2,0.22,17.866667,-97.783333
202203,2022,3,0.23,17.866667,-97.783333
202204,2022,4,0.85,17.866667,-97.783333
202205,2022,5,0.93,17.866667,-97.783333
202206,2022,6,3.83,17.866667,-97.783333
202207,2022,7,2.85,17.866667,-97.783333
202208,2022,8,6.05,17.866667,-97.783333
202209,2022,9,6.27,17.866667,-97.783333
202210,2022,10,1.58,17.866667,-97.783333
202211,2022,11,1.07,17.866667,-97.783333
202212,2022,12,0.57,17.866667,-97.783333
202213,2022,13,2.08,17.866667,-97.783333
202301,2023,1,0.09,17.866667,-97.783333
202302,2023,2,0.11,17.866667,-97.783333
202303,2023,3,0.34,17.866667,-97.783333
202304,2023,4,1.34,17.866667,-97.783333
202305,2023,5,1.66,17.866667,-97.783333
202306,2023,6,1.07,17.866667,-97.783333
202307,2023,7,3.92,17.866667,-97.783333
202308,2023,8,7.64,17.866667,-97.783333
202309,2023,9,1.96,17.866667,-97.783333
202310,2023,10,2.79,17.866667,-97.783333
202311,2023,11,1.92,17.866667,-97.783333
202312,2023,12,0.73,17.866667,-97.783333
202313,2023,13,1.98,17.866667,-97.783333
202401,2024,1,0.36,17.866667,-97.783333
202402,2024,2,0.33,17.866667,-97.783333
202403,2024,3,0.16,17.866667,-97.783333
202404,2024,4,0.41,17.866667,-97.783333
202405,2024,5,0.99,17.866667,-97.783333
202406,2024,6,5.62,17.866667,-97.783333
202407,2024,7,5.69,17.866667,-97.783333
202408,2024,8,5.31,17.866667,-97.783333
202409,2024,9,7.54,17.866667,-97.783333
202410,2024,10,2.49,17.866667,-97.783333
202411,2024,11,0.32,17.866667,-97.783333
202412,2024,12,0.09,17.866667,-97.783333
202413,2024,13,2.44,17.866667,-97.783333
202001,2020,1,0.47,17.060816,-96.726588
202002,2020,2,0.18,17.060816,-96.726588
202003,2020,3,0.03,17.060816,-96.726588
202004,2020,4,0.75,17.060816,-96.726588
202005,2020,5,2.36,17.060816,-96.726588
202006,2020,6,5.37,17.060816,-96.726588
202007,2020,7,5.14,17.060816,-96.726588
202008,2020,8,7.02,17.060816,-96.726588
202009,2020,9,7.54,17.060816,-96.726588
202010,2020,10,4.55,17.060816,-96.726588
202011,2020,11,0.58,17.060816,-96.726588
202012,2020,12,0.23,17.060816,-96.726588
202013,2020,13,2.86,17.060816,-96.726588
202101,2021,1,0.48,17.060816,-96.726588
202102,2021,2,0.13,17.060816,-96.726588
202103,2021,3,0.08,17.060816,-96.726588
202104,2021,4,1.0,17.060816,-96.726588
202105,2021,5,3.73,17.060816,-96.726588
202106,2021,6,9.61,17.060816,-96.726588
202107,2021,7,4.04,17.060816,-96.726588
202108,2021,8,5.28,17.060816,-96.726588
202109,2021,9,9.66,17.060816,-96.726588
202110,2021,10,1.92,17.060816,-96.726588
202111,2021,11,0.48,17.060816,-96.726588
202112,2021,12,0.11,17.060816,-96.726588
202113,2021,13,3.04,17.060816,-96.726588
202201,2022,1,0.48,17.060816,-96.726588
202202,2022,2,0.21,17.060816,-96.726588
202203,2022,3,0.15,17.060816,-96.726588
202204,2022,4,1.1,17.060816,-96.726588
202205,2022,5,1.5,17.060816,-96.726588
202206,2022,6,4.28,17.060816,-96.726588
202207,2022,7,2.81,17.060816,-96.726588
202208,2022,8,6.3,17.060816,-96.726588
202209,2022,9,8.09,17.060816,-96.726588
202210,2022,10,2.12,17.060816,-96.726588
202211,2022,11,0.95,17.060816,-96.726588
202212,2022,12,0.37,17.060816,-96.726588
202213,2022,13,2.37,17.060816,-96.726588
202301,2023,1,0.09,17.060816,-96.726588
202302,2023,2,0.08,17.060816,-96.726588
202303,2023,3,0.34,17.060816,-96.726588
202304,2023,4,0.42,17.060816,-96.726588
202305,2023,5,1.22,17.060816,-96.726588
202306,2023,6,3.98,17.060816,-96.726588
202307,2023,7,3.76,17.060816,-96.726588
202308,2023,8,6.47,17.060816,-96.726588
202309,2023,9,1.99,17.060816,-96.726588
202310,2023,10,2.57,17.060816,-96.726588
202311,2023,11,1.62,17.060816,-96.726588
202312,2023,12,0.73,17.060816,-96.726588
202313,2023,13,1.95,17.060816,-96.726588
202401,2024,1,0.34,17.060816,-96.726588
202402,2024,2,0.29,17.060816,-96.726588
