Date,Year,Month,Latitude,Longitude,Precipitation_mm_per_day,Temperature_C,Temperature_Max_C,Temperature_Min_C,Humidity_Percent,Wind_Speed_ms,Pressure_kPa,Cloud_Cover_Percent
202001,2020,1,17.866667,-97.783333,0.45,13.75,25.5,0.98,74.79,2.89,80.51,31.56
202002,2020,2,17.866667,-97.783333,0.25,15.42,29.78,2.53,68.96,3.01,80.47,23.0
202003,2020,3,17.866667,-97.783333,0.12,17.91,33.46,4.36,60.43,2.83,80.5,14.44
202004,2020,4,17.866667,-97.783333,1.12,21.55,33.22,10.94,56.93,2.27,80.42,39.67
202005,2020,5,17.866667,-97.783333,1.2,20.42,32.96,11.37,62.83,2.27,80.4,46.16
202006,2020,6,17.866667,-97.783333,4.53,18.9,29.42,8.89,72.81,2.68,80.4,70.78
202007,2020,7,17.866667,-97.783333,5.39,18.13,26.89,11.37,77.58,2.44,80.45,74.86
202008,2020,8,17.866667,-97.783333,6.95,17.3,25.56,10.27,81.23,2.59,80.4,79.07
202009,2020,9,17.866667,-97.783333,9.03,16.67,25.58,9.43,84.66,2.14,80.37,80.59
202010,2020,10,17.866667,-97.783333,1.62,14.99,24.79,3.42,79.98,2.49,80.39,50.65
202011,2020,11,17.866667,-97.783333,0.45,14.07,24.43,4.45,79.66,3.15,80.51,33.7
202012,2020,12,17.866667,-97.783333,0.13,13.58,24.46,1.83,76.22,2.38,80.47,36.17
202013,2020,13,17.866667,-97.783333,2.6,16.89,33.46,0.98,73.02,2.59,80.44,48.44
202101,2021,1,17.866667,-97.783333,0.52,14.16,27.66,5.51,74.98,2.59,80.45,49.85
202102,2021,2,17.866667,-97.783333,0.35,15.26,30.78,2.27,62.85,2.48,80.33,13.01
202103,2021,3,17.866667,-97.783333,0.49,17.44,32.15,6.09,61.47,2.97,80.42,17.43
202104,2021,4,17.866667,-97.783333,0.72,20.15,32.78,5.67,55.1,2.45,80.3,36.69
202105,2021,5,17.866667,-97.783333,3.84,19.32,29.42,10.24,69.89,2.57,80.42,60.22
202106,2021,6,17.866667,-97.783333,7.09,17.92,27.94,11.75,79.71,2.04,80.36,90.41
202107,2021,7,17.866667,-97.783333,4.49,17.17,26.32,9.1,80.8,2.72,80.53,71.54
202108,2021,8,17.866667,-97.783333,5.92,17.13,25.42,10.58,82.08,2.81,80.43,80.88
202109,2021,9,17.866667,-97.783333,8.34,17.19,24.78,10.18,84.13,1.95,80.4,84.39
202110,2021,10,17.866667,-97.783333,2.46,16.65,26.15,9.54,82.62,2.3,80.43,62.19
202111,2021,11,17.866667,-97.783333,0.64,13.3,22.62,3.48,80.43,2.97,80.56,28.43
